;------------------------------------------------------------
;怪怪原创版本 QQ:493317334 内挂物品过滤配置文件
;------------------------------------------------------------
;物品类型	物品名称	极品显示	自动捡取	显示名称
1	白日门火球术	0	0	0
1	白日门治愈术	0	0	0
1	白日门剑术	0	0	0
1	白日门战法	0	1	1
1	白日门大火球	0	1	1
1	白日门施毒术	0	1	1
1	白日门攻杀	0	1	1
1	白日门抗拒	0	1	1
1	白日门地狱火	0	1	1
1	白日门疾光	0	1	1
1	白日门雷电术	0	1	1
1	白日门刺杀	0	1	1
1	白日门火符	0	1	1
1	白日门幽灵盾	0	1	1
1	白日门战甲术	0	1	1
1	白日门困魔咒	0	1	1
1	白日门骷髅术	0	1	1
1	白日门隐身	0	1	1
1	白日门群隐	0	1	1
1	白日门诱惑术	0	1	1
1	白日门瞬移	0	1	1
1	白日门火墙	0	1	1
1	白日门爆裂	0	1	1
1	白日门雷光	0	1	1
1	白日门半月	0	1	1
1	白日门烈火	0	1	1
1	白日门野蛮	0	1	1
1	白日门启示	0	1	1
1	白日门群疗	0	1	1
1	白日门神兽术	0	1	1
1	白日门魔法盾	0	1	1
1	白日门圣言术	0	1	1
1	白日门冰咆哮	0	1	1
1	白日门四级烈火	0	1	1
1	白日门狮子吼	0	1	1
1	开天斩	0	1	1
1	白日门寒冰掌	0	1	1
1	白日门灭天火	0	1	1
1	分身术	0	1	1
1	白日门四级灭天	0	1	1
1	白日门气功波	0	1	1
1	白日门四级火符	0	1	1
1	白日门真气	0	1	1
1	白日门火雨	0	1	1
1	白日门噬血术	0	1	1
1	破魂斩	0	1	1
1	劈星斩	0	1	1
1	雷霆一击	0	1	1
1	噬魂沼泽	0	1	1
1	末日审判	0	1	1
1	火龙气焰	0	1	1
1	白日门四级盾	0	1	1
1	召唤月灵	0	1	1
1	白日门逐日	0	1	1
1	白日门四级剑术	0	1	1
1	白日门四级刺杀	0	1	1
1	白日门圆月弯刀	0	1	1
1	白日门四级雷电	0	1	1
1	白日门四级火雨	0	1	1
1	白日门四级施毒	0	1	1
1	白日门四级噬血	0	1	1
1	白日门血魄(战)	0	1	1
1	白日门血魄(法)	0	1	1
1	白日门血魄(道)	0	1	1
1	召唤火灵	0	1	1
1	怒之攻杀	0	1	1
1	静之攻杀	0	1	1
1	怒之半月	0	1	1
1	静之半月	0	1	1
1	怒之烈火	0	1	1
1	静之烈火	0	1	1
1	怒之逐日	0	1	1
1	静之逐日	0	1	1
1	怒之火球	0	1	1
1	静之火球	0	1	1
1	怒之大火球	0	1	1
1	静之大火球	0	1	1
1	怒之火墙	0	1	1
1	静之火墙	0	1	1
1	怒之地狱火	0	1	1
1	静之地狱火	0	1	1
1	怒之疾光电影	0	1	1
1	静之疾光电影	0	1	1
1	怒之爆裂火焰	0	1	1
1	静之爆裂火焰	0	1	1
1	怒之冰咆哮	0	1	1
1	静之冰咆哮	0	1	1
1	怒之雷电	0	1	1
1	静之雷电	0	1	1
1	怒之地狱雷光	0	1	1
1	静之地狱雷光	0	1	1
1	怒之寒冰掌	0	1	1
1	静之寒冰掌	0	1	1
1	怒之灭天火	0	1	1
1	静之灭天火	0	1	1
1	怒之火符	0	1	1
1	静之火符	0	1	1
1	怒之噬血	0	1	1
1	静之噬血	0	1	1
1	怒之流星火雨	0	1	1
1	静之流星火雨	0	1	1
1	怒之内功剑法	0	1	1
1	静之内功剑法	0	1	1
1	怒之施毒术	0	1	1
1	静之施毒术	0	1	1
1	怒之月灵	0	1	1
1	静之月灵	0	1	1
1	静之冰冻	0	1	1
1	火球术	0	0	0
1	治愈术	0	0	0
1	基本剑术	0	0	0
1	精神力战法	0	1	1
1	大火球	0	1	1
1	攻杀剑术	0	1	1
1	施毒术	0	1	1
1	抗拒火环	0	1	1
1	地狱火	0	1	1
1	雷电术	0	1	1
1	疾光电影	0	1	1
1	灵魂火符	0	1	1
1	幽灵盾	0	1	1
